title,url,raw_price,location
Prodej bytu 3+kk 72 m²,https://reality.idnes.cz/detail/prodej/byt/mlada-boleslav/696a42734bce9bb18100af6d/,8 226 800 Kč,Mladá Boleslav - Michalovice
Prodej bytu 2+1 47 m²,https://reality.idnes.cz/detail/prodej/byt/tyniste-nad-orlici-turkova/698f8beecbb82e0fde0db56d/,3 250 000 Kč,"Turkova, Týniště nad Orlicí, okres Rychnov nad Kněžnou"
Prodej bytu 3+1 82 m²,https://reality.idnes.cz/detail/prodej/byt/brandys-nad-orlici-lazenska/6942b77ec3cddb27830793a4/,4 400 000 Kč,"Lázeňská, Brandýs nad Orlicí, okres Ústí nad Orlicí"
Prodej bytu 2+1 62 m²,https://reality.idnes.cz/detail/prodej/byt/karlovy-vary-sokolovska/698f82daf399b08b7600de3a/,3 599 000 Kč,"Sokolovská, Karlovy Vary - Rybáře"
Prodej bytu 4+1 79 m²,https://reality.idnes.cz/detail/prodej/byt/praha-20-markupova/698f812e6c208011440bc1b1/,8 890 000 Kč,"Markupova, Praha 9 - Horní Počernice"
Prodej bytu 3+kk 70 m²,https://reality.idnes.cz/detail/prodej/byt/praha-7-v-haji/698f7e3a4bf26be23d0082a6/,13 900 000 Kč,"V háji, Praha 7 - Holešovice"
Prodej bytu 2+kk 57 m²,https://reality.idnes.cz/detail/prodej/byt/praha-10-cernomorska/698f7e29b8f0206e5b0de024/,7 350 000 Kč,"Černomořská, Praha 10 - Vršovice"
Prodej bytu 1+1 58 m²,https://reality.idnes.cz/detail/prodej/byt/trutnov-horska/698f7d630d2560256c027b27/,4 200 000 Kč,"Horská, Trutnov - Střední Předměstí"
Prodej bytu 2+kk 76 m²,https://reality.idnes.cz/detail/prodej/byt/praha/695bb7182d3c367bbc0ecf44/,9 900 000 Kč,Praha 8 - Libeň
Prodej bytu 1+1 48 m²,https://reality.idnes.cz/detail/prodej/byt/ostrava-28-rijna/698f7bcffc13c3c74d003505/,3 150 000 Kč,"28. října, Ostrava - Mariánské Hory"
Prodej bytu 4+1 163 m²,https://reality.idnes.cz/detail/prodej/byt/brno-jaselska/698f775221a4ec2f510a2823/,16 799 000 Kč,"Jaselská, Brno - Veveří"
Prodej bytu 3+1 99 m²,https://reality.idnes.cz/detail/prodej/byt/brno-antoninska/697b30828386db0e8206a3b8/,8 925 000 Kč,"Antonínská, Brno - Veveří"
Prodej bytu 3+1 62 m²,https://reality.idnes.cz/detail/prodej/byt/velky-senov-mikulasovicka/698f7601449f1c6635049e37/,1 690 000 Kč,"Mikulášovická, Velký Šenov, okres Děčín"
Prodej bytu 3+kk 171 m²,https://reality.idnes.cz/detail/prodej/byt/harrachov/69386c532e5ccf979604293b/,13 120 000 Kč,"Harrachov - Nový Svět, okres Jablonec nad Nisou"
Prodej bytu 5+kk 179 m²,https://reality.idnes.cz/detail/prodej/byt/cheb-brehnicka/65af8e480752f4629509e3a6/,6 990 000 Kč,"Břehnická, Cheb"
Prodej bytu 2+kk 44 m²,https://reality.idnes.cz/detail/prodej/byt/praha-4-u-svepomoci/692de2b5ede47f875f0d9cf6/,7 290 000 Kč,"U Svépomoci, Praha 4 - Nusle"
Prodej bytu 4+kk 112 m²,https://reality.idnes.cz/detail/prodej/byt/brno-ondrova/67b9e1011f996a3b0f007f24/,13 460 000 Kč,"Ondrova, Brno - Kníničky"
Prodej bytu 2+kk 67 m²,https://reality.idnes.cz/detail/prodej/byt/brno-jerlinova/6852ae760d6211950808a4a4/,7 400 000 Kč,"Jerlínová, Brno - Žebětín"
Prodej bytu 3+kk 8 547 m²,https://reality.idnes.cz/detail/prodej/byt/povljana/697a379ef87d026b5d059185/,6 426 250 Kč,"Povljana, Chorvatsko"
Prodej bytu 2+kk 53 m²,https://reality.idnes.cz/detail/prodej/byt/olomouc-loudova/693698bd66f7447c43083aeb/,6 495 000 Kč,"Loudova, Olomouc - Povel"
Prodej bytu 3+kk 78 m²,https://reality.idnes.cz/detail/prodej/byt/jablonec-nad-nisou-na-hutich/685178bd509cb2b2a408a21b/,5 700 000 Kč,"Na Hutích, Jablonec nad Nisou"
Prodej bytu 1+kk 31 m²,https://reality.idnes.cz/detail/prodej/byt/piesendorf/6922b79754243296ef0810f4/,4 365 000 Kč,"Piesendorf, Zell am See District, Rakousko"
Prodej bytu 1+kk 34 m²,https://reality.idnes.cz/detail/prodej/byt/durres/697c9eaa208763017a03ecf4/,996 675 Kč,"Durres, Albánie"
Prodej bytu 2+kk 54 m²,https://reality.idnes.cz/detail/prodej/byt/durres/697c9e7f92e531afa103df76/,1 678 828 Kč,"Durres, Albánie"
Prodej bytu 2+kk 60 m²,https://reality.idnes.cz/detail/prodej/byt/durres/697c9e8d3efe7f627e0f4e4b/,2 303 750 Kč,"Durres, Albánie"
Prodej bytu 6+kk 522 m²,https://reality.idnes.cz/detail/prodej/byt/madrid/68fc18537d23c869ff060fe6/,87 300 000 Kč,"Madrid, Španělsko"
Prodej bytu 2+kk 39 m²,https://reality.idnes.cz/detail/prodej/byt/torremolinos/68fc184af3d12f52a803554b/,4 971 250 Kč,"Torremolinos, Španělsko"
Prodej bytu 3+kk 58 m²,https://reality.idnes.cz/detail/prodej/byt/torrevieja/68fc1841f20f279d70088050/,6 306 213 Kč,"Torrevieja, Španělsko"
Prodej bytu 3+kk 64 m²,https://reality.idnes.cz/detail/prodej/byt/praha-10-na-spojce/698f3b64e9883746b80e366c/,13 209 000 Kč,"Na spojce, Praha 10 - Vršovice"
Prodej bytu 2+kk 56 m²,https://reality.idnes.cz/detail/prodej/byt/msene-lazne-mladeznicka/698f75473f5afa421a0431e9/,3 372 000 Kč,"Mládežnická, Mšené-lázně, okres Litoměřice"
Prodej bytu 1+kk 22 m²,https://reality.idnes.cz/detail/prodej/byt/msene-lazne-mladeznicka/698f74d46809d6f43608c9d7/,1 390 000 Kč,"Mládežnická, Mšené-lázně, okres Litoměřice"
Prodej bytu 1+1 33 m²,https://reality.idnes.cz/detail/prodej/byt/msene-lazne-mladeznicka/698f73c6943082dfa80276f7/,1 998 000 Kč,"Mládežnická, Mšené-lázně, okres Litoměřice"
Prodej bytu 4+kk 111 m²,https://reality.idnes.cz/detail/prodej/byt/rohatec-nadrazni/698f7390fda7fcc7c20e42d8/,4 900 000 Kč,"Nádražní, Rohatec, okres Hodonín"
Prodej bytu 2+kk 38 m²,https://reality.idnes.cz/detail/prodej/byt/silvi/698f71f2b2d0bbc6e703365a/,4 001 250 Kč,"Silvi, Provincia di Teramo, Itálie"
Prodej bytu 4+kk 68 m²,https://reality.idnes.cz/detail/prodej/byt/praha-22-ke-krizi/698f71aabc4e155a0b01fa1a/,9 960 000 Kč,"Ke kříži, Praha 10 - Uhříněves"
Prodej bytu 3+1 75 m²,https://reality.idnes.cz/detail/prodej/byt/veverska-bityska-na-bityskach/698f70117973ff3a7d0616cd/,6 249 000 Kč,"Na Bítýškách, Veverská Bítýška, okres Brno-venkov"
Prodej bytu 1+1 48 m²,https://reality.idnes.cz/detail/prodej/byt/ostrava-28-rijna/698f6f383fc4f9b283094127/,3 150 000 Kč,"28. října, Ostrava - Mariánské Hory"
Prodej bytu 2+kk 83 m²,https://reality.idnes.cz/detail/prodej/byt/ostrava-kaminskeho/698f6d4dc10e54888304f8a6/,Cena na vyžádání,"Kaminského, Ostrava - Nová Bělá"
